Fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Tarija,Chuquisaca,Beni,Pando
2020-06-05,1830,1052,2365,325,145,47,131,116,75
2020-06-04,1830,1052,2365,325,145,47,131,116,75
2020-06-03,1830,1052,2365,325,145,47,131,116,75
2020-06-02,1830,1052,2365,325,145,47,131,116,75
2020-06-01,1830,1052,2365,325,145,47,131,116,75
2020-05-31,1830,1052,2365,325,145,47,131,116,75
2020-05-30,1830,1052,2365,325,145,47,131,116,75
2020-05-29,1830,1052,2365,325,145,47,131,116,75
2020-05-28,1830,1052,2365,325,145,47,131,116,75
2020-05-27,1830,1052,2365,325,145,47,131,116,75
2020-05-26,1830,1052,2365,325,145,47,131,116,75
2020-05-25,1830,1052,2365,325,145,47,131,116,75
2020-05-24,1830,1052,2365,325,145,47,131,116,75
2020-05-23,1830,1052,2365,325,145,47,131,116,75
2020-05-22,1830,1052,2365,325,145,47,131,116,75
2020-05-21,1830,1052,2365,325,145,47,131,116,75
2020-05-20,1830,1052,2365,325,145,47,131,116,75
2020-05-19,1830,1052,2365,325,145,47,131,116,75
2020-05-18,1830,1052,2365,325,145,47,131,116,75
2020-05-17,1830,1052,2365,325,145,47,131,116,75
2020-05-16,1830,1052,2365,325,145,47,131,116,75
2020-05-15,1830,1052,2365,325,145,47,131,116,75
2020-05-14,1830,1052,2365,325,145,47,131,116,75
2020-05-13,1830,1052,2365,325,145,47,131,116,75
2020-05-12,1830,1052,2365,325,145,47,131,116,75
2020-05-11,1830,1052,2365,325,145,47,131,116,75
2020-05-10,1830,1052,2365,325,145,47,131,116,75
2020-05-09,1830,1052,2365,325,145,47,131,116,75
2020-05-08,1830,1052,2365,325,145,47,131,116,75
2020-05-07,1830,1052,2365,325,145,47,131,116,75
2020-05-06,1830,1052,2365,325,145,47,131,116,75
2020-05-05,1830,1052,2365,325,145,47,131,116,75
2020-05-04,1830,1052,2365,325,145,47,131,116,75
2020-05-03,1830,1052,2365,325,145,47,131,116,75
2020-05-02,1830,1052,2365,325,145,47,131,116,75
2020-05-01,1393,1028,2204,300,122,43,123,96,75
2020-04-30,1393,1028,2204,300,122,43,123,96,75
2020-04-29,1357,1007,2182,296,120,43,123,96,75
2020-04-28,1283,968,2098,282,119,38,120,86,74
2020-04-27,1265,948,2050,282,112,38,120,85,74
2020-04-26,1221,931,1995,280,112,38,120,73,71
2020-04-25,1168,900,1786,258,103,36,115,53,71
2020-04-24,1168,900,1786,258,103,36,115,53,71
2020-04-23,1138,859,1674,251,103,36,115,46,70
2020-04-22,1071,833,1622,245,102,36,113,46,70
2020-04-21,1009,785,1451,216,90,33,111,46,70
2020-04-20,949,769,1419,215,89,33,111,46,69
2020-04-19,905,757,1361,206,89,31,108,46,68
2020-04-18,760,719,1155,138,72,29,103,41,63
2020-04-17,760,719,1155,138,72,29,103,41,63
2020-04-16,745,701,1103,117,73,29,99,41,46
2020-04-15,699,679,1036,117,43,29,99,41,46
2020-04-14,653,630,899,89,43,26,99,37,46
2020-04-13,631,579,831,50,43,26,98,36,45
2020-04-12,614,541,775,50,43,26,95,36,18
2020-04-11,597,493,723,26,42,26,95,36,18
2020-04-10,555,471,669,26,25,18,92,36,18
2020-04-09,483,389,649,26,25,18,86,35,18
2020-04-08,362,281,460,22,9,16,79,17,12
2020-04-07,362,281,460,22,9,16,79,17,12
2020-04-06,362,281,460,22,9,16,79,17,12
2020-04-05,362,281,460,22,9,16,79,17,12
2020-04-04,250,231,386,21,6,12,53,8,12
2020-04-03,250,231,386,21,6,12,53,8,12
2020-04-02,215,199,342,21,6,8,42,8,12
2020-04-01,165,176,281,20,6,7,38,8,12
2020-03-31,165,149,265,20,6,7,38,4,10
2020-03-30,133,149,232,17,6,7,32,4,10
2020-03-29,108,117,184,11,7,6,32,4,9
2020-03-28,108,117,184,11,7,6,32,4,9
2020-03-27,101,117,162,11,7,5,29,3,7
2020-03-26,86,93,145,9,7,5,26,3,7
2020-03-25,67,67,114,7,5,5,21,3,6
2020-03-24,58,57,86,7,5,4,21,3,4
2020-03-23,58,57,86,7,5,4,21,3,4
2020-03-22,24,30,62,5,5,4,15,2,4
2020-03-21,23,16,52,4,5,3,12,1,3
